// Taken from www.statoids.com/ugb.html
// this is just a small sampling of this page (there are 233).
// I took ones that sounded familiar...

ABERDEEN		: ABERDEEN, ABERDEENSHIRE
ANGUS			: ANGUS
AVON			: AVON
BARNET			: BARNET
BEDFORDSHIRE	: BEDFORDSHIRE, BEDS
BERKS			: BERKSHIRE, BERKS  // added this because it used to be a division, but apparently no longer is...
BUCKINGHAMSHIRE	: BUCKINGHAMSHIRE
CAMBRIDGESHIRE	: CAMBRIDGESHIRE
CARDIFF			: CARDIFF
CHESHIRE		: CHESHIRE
CORNWALL		: CORNSHIRE
COVENTRY		: COVENTRY
CUMBRIA			: CUMBRIA, CUMB
DERBYSHIRE		: DERBYSHIRE, DERBY
DEVON			: DEVON
DORSET			: DORSET
DURHAM			: DURHAM, CO DURHAM, COUNTY DURHAM
EAST SUSSEX		: EAST SUSSEX, E SUSSEX
ESSEX  			: ESSEX
GLOUCS			: GLOUCS, GLOUCESTERSHIRE
HAMPS			: HAMPS, HAMPSHIRE
HEREFORDSHIRE	: HEREFORDSHIRE
HERTFORDSHIRE	: HERTFORDSHIRE
KENT			: KENT, CO KENT, COUNTY KENT
LANCS			: LANCS, LANCASHIRE
LEICS			: LEICS, LEICESTERSHIRE
LINCOLNSHIRE	: LINCOLNSHIRE
LONDON			: LONDON
MANCHESTER		: MANCHESTER
NOTTS			: NOTTS, NOTTINGHAMSHIRE, NOTTINGHAM
OXFORDSHIRE		: OXFORDSHIRE
SYORKS			: SOUTH YORKSHIRE, SOUTH YORKS, S YORKS, S YKS
STAFFS			: STAFFS, STAFFORDSHIRE, STAFFORD
STIRLINGSHIRE	: STIRLINGSHIRE
SUSSEX			: SUSSEX
SUTTON			: SUTTON
TYNE AND WEAR	: TYNE AND WEAR, TYNE A WEAR		
WARWICKSHIRE	: WARWICKSHIRE, WARKS
WMIDS			: WMIDS, WEST MIDS, WEST MIDLANDS
WEST SUSSEX		: WEST SUSSEX, W SUSSEX
WYORKS			: WEST YORKSHIRE, WEST YORKS, W YORKS, W YKS
WORCESTERSHIRE	: WORCESTERSHIRE
YORKS			: YORKSHIRE, YORKS
