AZUAY				: AZUAY
BOLIVAR				: BOLIVAR
CANAR				: CANAR
CARCHI				: CARCHI
CHIMBORAZO			: CHIMBORAZO
COTOPAXI			: COTOPAXI
EL ORO				: EL ORO
ESMERALDAS			: ESMERALDAS
GALAPAGOS			: GALAPAGOS
GUAYAS				: GUAYAS
IMBABURA			: IMBABURA
LOJA				: LOJA
LOS RIOS			: LOS RIOS
MANABI				: MANABI
MORONA-SANTIAGO		: MORONA-SANTIAGO, MORONA SANTIAGO
NAPO				: NAPO
ORELLANA			: ORELLANA
PASTAZA				: PASTAZA
PICHINCHA 			: PICHINCHA
SUCUMBIOS			: SUCUMBIOS
TUNGURAHUA			: TUNGURAHUA
ZAMORA-CHINCHIPE	: ZAMORA-CHINCHIPE, ZAMORA CHINCHIPE
