AC	: AC, ACRE
AL	: AL, ALAGOAS
AP	: AP, AMAPA
AM	: AM, AMAZONAS
BA	: BA, BAHIA
CE  : CE, CEARA
DF	: DF, DISTRITO FEDERAL, D F
ES	: ES, ESPIRITO SANTO, E S
GO	: GO, GOIAS
MA	: MA, MARANHAO
MT	: MT, MATO GROSSO
MS	: MS, MATO GROSSO DO SUL
MG	: MG, MINAS GERAIS
PA	: PA, PARA
PB	: PB, PARAIBA
PR	: PR, PARANA
PE	: PE, PERNAMBUCO
PI	: PI, PIAUI
RJ	: RJ, RIO DE JANEIRO, R J
RN	: RN, RIO GRANDE DO NORTE
RS  : RS, RIO GRANDE DO SUL
RO	: RO, RONDONIA
SC  : SC, SANTA CATARINA
SP	: SP, SAO PAULO, SPAULO
SE	: SE, SERGIPE
TO	: TO, TOCANTINS
