// NOTE: we include Puerto Rico here, as a state, because it's relatively common
// (at least more so than the other territories/possessions)
PR  : PR, P R, PUERTO RICO

AL	: AL, ALABAMA
AK	: AK, ALASKA
AZ	: AZ, ARIZONA, ARZ, ARIZ
AR	: AR, ARKANSAS, ARK
CA	: CA, CAL, CALF, CALIF, CALIFORNIA
CO	: CO, COLORADO, COLO
CT	: CT, CONNECTICUT
DE	: DE, DELAWARE
DC	: DC, D C, DISTRICT OF COLUMBIA
FL	: FL, FLA, FLORIDA
GA	: GA, GEORGIA
HI	: HI, HAWAII
ID	: ID, IDAHO, IDA
IL	: IL, ILL, ILLINOIS
IN	: IN, INDIANA, IND
IA	: IA, IOWA
KS	: KS, KANSAS
KY	: KY, KENTUCKY
LA	: LA, LOUISIANA
ME	: ME, MAINE
MD	: MD, MARYLAND
MA	: MA, MASS, MASSACHUSETTS
MI	: MI, MICHIGAN, MICH
MN	: MN, MINNESOTA, MINN
MS	: MS, MISSISSIPPI // can't really put MISS here, as it collides with MISSOURI...
MO	: MO, MISSOURI
MT	: MT, MONT, MONTANA
NE	: NE, NEB, NEBRASKA
NV	: NV, NEVADA, NEV
NH	: NH, N H, NEW HAMPSHIRE
NJ	: NJ, N J, NEW JERSEY
NM	: NM, N M, NEW MEXICO
NY	: NY, N Y, NEW YORK
NC	: NC, N C, NORTH CAROLINA
ND	: ND, N D, NORTH DAKOTA
OH	: OH, OHIO
OK	: OK, OKLAHOMA, OKLA
OR	: OR, OREGON, ORE, OREG
PA	: PA, PENNSYLVANIA, PENN
RI	: RI, R I, RHODE ISLAND
SC	: SC, S C, SOUTH CAROLINA
SD	: SD, S D, SOUTH DAKOTA, SO DAK, SO DAKOTA
TN	: TN, TENNESSEE, TENN
TX	: TX, TEXAS, TEX, TXS
UT	: UT, UTAH
VT	: VT, VERMONT
VA	: VA, VIRGINIA
WA	: WA, WASHINGTON, WASH
WV	: WV, W V, WEST VIRGINIA
WI	: WI, WISCONSIN, WIS, WISC
WY	: WY, WYOMING, WYO
